,movieid,Cluster,title,genres
0,1,146,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,107,Jumanji (1995),Adventure|Children|Fantasy
2,3,50,Grumpier Old Men (1995),Comedy|Romance
3,4,41,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,41,Father of the Bride Part II (1995),Comedy
5,6,136,Heat (1995),Action|Crime|Thriller
6,7,82,Sabrina (1995),Comedy|Romance
7,8,2,Tom and Huck (1995),Adventure|Children
8,9,16,Sudden Death (1995),Action
9,10,78,GoldenEye (1995),Action|Adventure|Thriller
10,11,48,"American President, The (1995)",Comedy|Drama|Romance
11,12,125,Dracula: Dead and Loving It (1995),Comedy|Horror
12,13,170,Balto (1995),Adventure|Animation|Children
13,14,48,Nixon (1995),Drama
14,15,175,Cutthroat Island (1995),Action|Adventure|Romance
15,16,12,Casino (1995),Crime|Drama
16,17,155,Sense and Sensibility (1995),Drama|Romance
17,18,60,Four Rooms (1995),Comedy
18,19,119,Ace Ventura: When Nature Calls (1995),Comedy
19,20,16,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,21,12,Get Shorty (1995),Comedy|Crime|Thriller
21,22,52,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,23,16,Assassins (1995),Action|Crime|Thriller
23,24,4,Powder (1995),Drama|Sci-Fi
24,25,160,Leaving Las Vegas (1995),Drama|Romance
25,26,181,Othello (1995),Drama
26,27,128,Now and Then (1995),Children|Drama
27,28,155,Persuasion (1995),Drama|Romance
28,29,10,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,138,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,31,57,Dangerous Minds (1995),Drama
31,32,79,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,33,192,Wings of Courage (1995),Adventure|Romance|IMAX
33,34,197,Babe (1995),Children|Drama
34,35,21,Carrington (1995),Drama|Romance
35,36,150,Dead Man Walking (1995),Crime|Drama
36,37,120,Across the Sea of Time (1995),Documentary|IMAX
37,38,110,It Takes Two (1995),Children|Comedy
38,39,85,Clueless (1995),Comedy|Romance
39,40,2,"Cry, the Beloved Country (1995)",Drama
40,41,181,Richard III (1995),Drama|War
41,42,27,Dead Presidents (1995),Action|Crime|Drama
42,43,21,Restoration (1995),Drama
43,44,182,Mortal Kombat (1995),Action|Adventure|Fantasy
44,45,165,To Die For (1995),Comedy|Drama|Thriller
45,46,41,How to Make an American Quilt (1995),Drama|Romance
46,47,166,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,48,197,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
48,49,36,When Night Is Falling (1995),Drama|Romance
49,50,166,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,52,64,Mighty Aphrodite (1995),Comedy|Drama|Romance
51,53,138,Lamerica (1994),Adventure|Drama
52,54,110,"Big Green, The (1995)",Children|Comedy
53,55,97,Georgia (1995),Drama
54,56,110,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy
55,57,103,Home for the Holidays (1995),Drama
56,58,120,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
57,59,138,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
58,60,107,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
59,61,32,Eye for an Eye (1996),Drama|Thriller
60,62,44,Mr. Holland's Opus (1995),Drama
61,63,125,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
62,64,84,Two if by Sea (1996),Comedy|Romance
63,65,76,Bio-Dome (1996),Comedy
64,66,101,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
65,67,42,Two Bits (1995),Drama
66,68,30,French Twist (Gazon maudit) (1995),Comedy|Romance
67,69,77,Friday (1995),Comedy
68,70,60,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
69,71,16,Fair Game (1995),Action
70,72,64,Kicking and Screaming (1995),Comedy|Drama
71,73,65,"Misérables, Les (1995)",Drama|War
72,74,82,Bed of Roses (1996),Drama|Romance
73,75,84,Big Bully (1996),Comedy|Drama
74,76,28,Screamers (1995),Action|Sci-Fi|Thriller
75,77,97,Nico Icon (1995),Documentary
76,78,68,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
77,79,32,"Juror, The (1996)",Drama|Thriller
