,movieid,Cluster,title,genres
0,1,35,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,130,Jumanji (1995),Adventure|Children|Fantasy
2,3,180,Grumpier Old Men (1995),Comedy|Romance
3,4,99,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,180,Father of the Bride Part II (1995),Comedy
5,6,161,Heat (1995),Action|Crime|Thriller
6,7,172,Sabrina (1995),Comedy|Romance
7,8,46,Tom and Huck (1995),Adventure|Children
8,9,177,Sudden Death (1995),Action
9,10,74,GoldenEye (1995),Action|Adventure|Thriller
10,11,3,"American President, The (1995)",Comedy|Drama|Romance
11,12,93,Dracula: Dead and Loving It (1995),Comedy|Horror
12,13,9,Balto (1995),Adventure|Animation|Children
13,14,0,Nixon (1995),Drama
14,15,2,Cutthroat Island (1995),Action|Adventure|Romance
15,16,150,Casino (1995),Crime|Drama
16,17,50,Sense and Sensibility (1995),Drama|Romance
17,18,14,Four Rooms (1995),Comedy
18,19,134,Ace Ventura: When Nature Calls (1995),Comedy
19,20,22,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,21,167,Get Shorty (1995),Comedy|Crime|Thriller
21,22,171,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,23,66,Assassins (1995),Action|Crime|Thriller
23,24,116,Powder (1995),Drama|Sci-Fi
24,25,196,Leaving Las Vegas (1995),Drama|Romance
25,26,17,Othello (1995),Drama
26,27,111,Now and Then (1995),Children|Drama
27,28,50,Persuasion (1995),Drama|Romance
28,29,132,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,96,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,31,178,Dangerous Minds (1995),Drama
31,32,83,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,33,123,Wings of Courage (1995),Adventure|Romance|IMAX
33,34,9,Babe (1995),Children|Drama
34,35,12,Carrington (1995),Drama|Romance
35,36,164,Dead Man Walking (1995),Crime|Drama
