,movieid,Cluster,title,genres
0,1,195,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,87,Jumanji (1995),Adventure|Children|Fantasy
2,3,126,Grumpier Old Men (1995),Comedy|Romance
3,4,65,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,99,Father of the Bride Part II (1995),Comedy
5,6,44,Heat (1995),Action|Crime|Thriller
6,7,113,Sabrina (1995),Comedy|Romance
7,8,51,Tom and Huck (1995),Adventure|Children
8,9,109,Sudden Death (1995),Action
9,10,182,GoldenEye (1995),Action|Adventure|Thriller
10,11,186,"American President, The (1995)",Comedy|Drama|Romance
11,12,168,Dracula: Dead and Loving It (1995),Comedy|Horror
12,13,18,Balto (1995),Adventure|Animation|Children
13,14,86,Nixon (1995),Drama
14,15,76,Cutthroat Island (1995),Action|Adventure|Romance
15,16,83,Casino (1995),Crime|Drama
16,17,2,Sense and Sensibility (1995),Drama|Romance
17,18,75,Four Rooms (1995),Comedy
18,19,51,Ace Ventura: When Nature Calls (1995),Comedy
19,20,116,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,21,61,Get Shorty (1995),Comedy|Crime|Thriller
21,22,51,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,23,73,Assassins (1995),Action|Crime|Thriller
23,24,143,Powder (1995),Drama|Sci-Fi
24,25,189,Leaving Las Vegas (1995),Drama|Romance
25,26,111,Othello (1995),Drama
26,27,83,Now and Then (1995),Children|Drama
27,28,123,Persuasion (1995),Drama|Romance
28,29,106,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,73,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,31,122,Dangerous Minds (1995),Drama
31,32,67,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,33,135,Wings of Courage (1995),Adventure|Romance|IMAX
33,34,174,Babe (1995),Children|Drama
34,35,27,Carrington (1995),Drama|Romance
35,36,124,Dead Man Walking (1995),Crime|Drama
36,37,65,Across the Sea of Time (1995),Documentary|IMAX
37,38,111,It Takes Two (1995),Children|Comedy
38,39,13,Clueless (1995),Comedy|Romance
39,40,189,"Cry, the Beloved Country (1995)",Drama
40,41,7,Richard III (1995),Drama|War
41,42,5,Dead Presidents (1995),Action|Crime|Drama
42,43,178,Restoration (1995),Drama
43,44,185,Mortal Kombat (1995),Action|Adventure|Fantasy
44,45,44,To Die For (1995),Comedy|Drama|Thriller
45,46,76,How to Make an American Quilt (1995),Drama|Romance
46,47,135,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,48,0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
48,49,76,When Night Is Falling (1995),Drama|Romance
49,50,149,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,52,168,Mighty Aphrodite (1995),Comedy|Drama|Romance
51,53,156,Lamerica (1994),Adventure|Drama
52,54,120,"Big Green, The (1995)",Children|Comedy
53,55,96,Georgia (1995),Drama
54,56,14,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy
55,57,57,Home for the Holidays (1995),Drama
56,58,113,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
57,59,141,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
58,60,194,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
59,61,75,Eye for an Eye (1996),Drama|Thriller
60,62,128,Mr. Holland's Opus (1995),Drama
61,63,152,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
62,64,79,Two if by Sea (1996),Comedy|Romance
63,65,23,Bio-Dome (1996),Comedy
64,66,28,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
65,67,31,Two Bits (1995),Drama
66,68,72,French Twist (Gazon maudit) (1995),Comedy|Romance
67,69,51,Friday (1995),Comedy
68,70,138,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
69,71,5,Fair Game (1995),Action
70,72,44,Kicking and Screaming (1995),Comedy|Drama
71,73,186,"Misérables, Les (1995)",Drama|War
72,74,183,Bed of Roses (1996),Drama|Romance
73,75,185,Big Bully (1996),Comedy|Drama
74,76,153,Screamers (1995),Action|Sci-Fi|Thriller
75,77,141,Nico Icon (1995),Documentary
76,78,119,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
77,79,7,"Juror, The (1996)",Drama|Thriller
78,80,14,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
79,81,19,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
80,82,156,Antonia's Line (Antonia) (1995),Comedy|Drama
81,83,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
82,84,73,Last Summer in the Hamptons (1995),Comedy|Drama
83,85,168,Angels and Insects (1995),Drama|Romance
84,86,75,White Squall (1996),Action|Adventure|Drama
85,87,3,Dunston Checks In (1996),Children|Comedy
86,88,23,Black Sheep (1996),Comedy
87,89,13,Nick of Time (1995),Action|Thriller
88,90,186,The Journey of August King (1995),Drama
89,92,108,Mary Reilly (1996),Drama|Horror|Thriller
90,93,19,Vampire in Brooklyn (1995),Comedy|Horror|Romance
91,94,66,Beautiful Girls (1996),Comedy|Drama|Romance
92,95,179,Broken Arrow (1996),Action|Adventure|Thriller
93,96,23,In the Bleak Midwinter (1995),Comedy|Drama
94,97,145,"Hate (Haine, La) (1995)",Crime|Drama
95,98,38,Shopping (1994),Action|Thriller
96,99,186,Heidi Fleiss: Hollywood Madam (1995),Documentary
97,100,141,City Hall (1996),Drama|Thriller
98,101,173,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
99,102,83,Mr. Wrong (1996),Comedy
100,103,23,Unforgettable (1996),Mystery|Sci-Fi|Thriller
101,104,63,Happy Gilmore (1996),Comedy
102,105,128,"Bridges of Madison County, The (1995)",Drama|Romance
103,106,165,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
104,107,142,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
105,108,36,Catwalk (1996),Documentary
106,110,57,Braveheart (1995),Action|Drama|War
107,111,60,Taxi Driver (1976),Crime|Drama|Thriller
108,112,119,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
109,113,199,Before and After (1996),Drama|Mystery
110,114,126,Margaret's Museum (1995),Drama
111,115,128,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
112,116,67,Anne Frank Remembered (1995),Documentary
113,117,145,"Young Poisoner's Handbook, The (1995)",Crime|Drama
114,118,87,If Lucy Fell (1996),Comedy|Romance
115,119,188,"Steal Big, Steal Little (1995)",Comedy
116,120,60,Race the Sun (1996),Adventure|Comedy|Drama
117,121,149,"Boys of St. Vincent, The (1992)",Drama
118,122,120,Boomerang (1992),Comedy|Romance
119,123,23,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
120,124,101,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
121,125,185,Flirting With Disaster (1996),Comedy
122,126,0,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
123,127,105,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
124,128,87,Jupiter's Wife (1994),Documentary
125,129,23,Pie in the Sky (1996),Comedy|Romance
126,131,13,Frankie Starlight (1995),Drama|Romance
127,132,44,Jade (1995),Thriller
128,135,36,Down Periscope (1996),Comedy
129,136,168,From the Journals of Jean Seberg (1995),Documentary
130,137,27,Man of the Year (1995),Documentary
131,138,185,"Neon Bible, The (1995)",Drama
132,140,194,Up Close and Personal (1996),Drama|Romance
133,141,82,"Birdcage, The (1996)",Comedy
134,144,12,"Brothers McMullen, The (1995)",Comedy
135,145,163,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
136,146,80,"Amazing Panda Adventure, The (1995)",Adventure|Children
137,147,75,"Basketball Diaries, The (1995)",Drama
138,148,63,"Awfully Big Adventure, An (1995)",Drama
139,149,153,Amateur (1994),Crime|Drama|Thriller
140,150,164,Apollo 13 (1995),Adventure|Drama|IMAX
141,151,82,Rob Roy (1995),Action|Drama|Romance|War
142,152,53,"Addiction, The (1995)",Drama|Horror
143,153,77,Batman Forever (1995),Action|Adventure|Comedy|Crime
144,154,43,Beauty of the Day (Belle de jour) (1967),Drama
145,155,84,Beyond Rangoon (1995),Adventure|Drama|War
146,156,55,Blue in the Face (1995),Comedy|Drama
147,157,185,Canadian Bacon (1995),Comedy|War
148,158,44,Casper (1995),Adventure|Children
149,159,120,Clockers (1995),Crime|Drama|Mystery
150,160,170,Congo (1995),Action|Adventure|Mystery|Sci-Fi
151,161,126,Crimson Tide (1995),Drama|Thriller|War
152,162,183,Crumb (1994),Documentary
153,163,79,Desperado (1995),Action|Romance|Western
154,164,186,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
155,165,30,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
156,166,149,"Doom Generation, The (1995)",Comedy|Crime|Drama
157,167,48,Feast of July (1995),Drama
158,168,185,First Knight (1995),Action|Drama|Romance
159,169,44,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
160,170,31,Hackers (1995),Action|Adventure|Crime|Thriller
161,171,120,Jeffrey (1995),Comedy|Drama
162,172,126,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
163,173,141,Judge Dredd (1995),Action|Crime|Sci-Fi
164,174,50,Jury Duty (1995),Comedy
165,175,54,Kids (1995),Drama
166,176,8,Living in Oblivion (1995),Comedy
167,177,80,Lord of Illusions (1995),Horror
168,178,32,Love & Human Remains (1993),Comedy|Drama
169,179,128,Mad Love (1995),Drama|Romance
170,180,37,Mallrats (1995),Comedy|Romance
171,181,137,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
172,182,179,Moonlight and Valentino (1995),Drama|Romance
173,183,180,Mute Witness (1994),Comedy|Horror|Thriller
174,184,38,Nadja (1994),Drama
175,185,65,"Net, The (1995)",Action|Crime|Thriller
176,186,183,Nine Months (1995),Comedy|Romance
177,187,23,Party Girl (1995),Comedy
178,188,199,"Prophecy, The (1995)",Fantasy|Horror|Mystery
179,189,139,Reckless (1995),Comedy|Fantasy
180,190,52,Safe (1995),Thriller
181,191,67,"Scarlet Letter, The (1995)",Drama|Romance
182,192,174,The Show (1995),Documentary
183,193,65,Showgirls (1995),Drama
184,194,51,Smoke (1995),Comedy|Drama
185,195,57,Something to Talk About (1995),Comedy|Drama|Romance
186,196,91,Species (1995),Horror|Sci-Fi
187,197,44,"Stars Fell on Henrietta, The (1995)",Drama
188,198,54,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
189,199,47,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
190,200,179,"Tie That Binds, The (1995)",Thriller
191,201,119,Three Wishes (1995),Drama|Fantasy
192,202,120,Total Eclipse (1995),Drama|Romance
193,203,106,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
194,204,106,Under Siege 2: Dark Territory (1995),Action
195,205,25,Unstrung Heroes (1995),Comedy|Drama
196,206,75,Unzipped (1995),Documentary
197,207,105,"Walk in the Clouds, A (1995)",Drama|Romance
198,208,80,Waterworld (1995),Action|Adventure|Sci-Fi
199,209,119,White Man's Burden (1995),Drama
200,210,48,Wild Bill (1995),Western
201,211,137,"Browning Version, The (1994)",Drama
202,212,129,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
203,213,44,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
204,214,3,Before the Rain (Pred dozhdot) (1994),Drama|War
205,215,51,Before Sunrise (1995),Drama|Romance
206,216,128,Billy Madison (1995),Comedy
207,217,114,"Babysitter, The (1995)",Drama|Thriller
208,218,145,Boys on the Side (1995),Comedy|Drama
209,219,75,"Cure, The (1995)",Drama
210,220,14,Castle Freak (1995),Horror
211,222,180,Circle of Friends (1995),Drama|Romance
212,223,38,Clerks (1994),Comedy
213,224,182,Don Juan DeMarco (1995),Comedy|Drama|Romance
214,225,182,Disclosure (1994),Drama|Thriller
215,227,63,Drop Zone (1994),Action|Thriller
216,228,13,Destiny Turns on the Radio (1995),Comedy
217,229,168,Death and the Maiden (1994),Drama|Thriller
218,230,57,Dolores Claiborne (1995),Drama|Thriller
219,231,120,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
220,232,128,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
221,233,179,Exotica (1994),Drama
222,234,58,Exit to Eden (1994),Comedy
223,235,136,Ed Wood (1994),Comedy|Drama
224,236,87,French Kiss (1995),Action|Comedy|Romance
225,237,1,Forget Paris (1995),Comedy|Romance
226,238,63,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
227,239,147,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
228,240,182,Hideaway (1995),Thriller
229,241,107,Fluke (1995),Children|Drama
230,242,185,Farinelli: il castrato (1994),Drama|Musical
231,243,75,Gordy (1995),Children|Comedy|Fantasy
232,244,87,Gumby: The Movie (1995),Animation|Children
233,245,3,The Glass Shield (1994),Crime|Drama
234,246,63,Hoop Dreams (1994),Documentary
235,247,7,Heavenly Creatures (1994),Crime|Drama
236,248,15,Houseguest (1994),Comedy
237,249,83,Immortal Beloved (1994),Drama|Romance
238,250,113,Heavyweights (Heavy Weights) (1995),Children|Comedy
239,251,96,"Hunted, The (1995)",Action
240,252,151,I.Q. (1994),Comedy|Romance
241,253,83,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
242,254,1,Jefferson in Paris (1995),Drama
243,255,75,"Jerky Boys, The (1995)",Comedy
