,movieid,Cluster,title
0,1,61,Toy Story (1995)
1,2,58,Jumanji (1995)
2,3,105,Grumpier Old Men (1995)
3,4,36,Waiting to Exhale (1995)
4,5,170,Father of the Bride Part II (1995)
5,6,51,Heat (1995)
6,7,116,Sabrina (1995)
7,8,75,Tom and Huck (1995)
8,9,108,Sudden Death (1995)
9,10,22,GoldenEye (1995)
10,11,14,"American President, The (1995)"
11,12,119,Dracula: Dead and Loving It (1995)
12,13,11,Balto (1995)
13,14,133,Nixon (1995)
14,15,163,Cutthroat Island (1995)
15,16,100,Casino (1995)
16,17,183,Sense and Sensibility (1995)
17,18,98,Four Rooms (1995)
18,19,75,Ace Ventura: When Nature Calls (1995)
19,20,146,Money Train (1995)
20,21,162,Get Shorty (1995)
21,22,75,Copycat (1995)
22,23,27,Assassins (1995)
23,24,31,Powder (1995)
24,25,11,Leaving Las Vegas (1995)
25,26,111,Othello (1995)
26,27,59,Now and Then (1995)
27,28,66,Persuasion (1995)
28,29,132,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,30,111,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,31,182,Dangerous Minds (1995)
31,32,178,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,33,116,Wings of Courage (1995)
33,34,57,Babe (1995)
34,35,31,Carrington (1995)
35,36,178,Dead Man Walking (1995)
36,37,8,Across the Sea of Time (1995)
37,38,36,It Takes Two (1995)
38,39,59,Clueless (1995)
39,40,23,"Cry, the Beloved Country (1995)"
40,41,177,Richard III (1995)
41,42,9,Dead Presidents (1995)
42,43,133,Restoration (1995)
43,44,11,Mortal Kombat (1995)
44,45,51,To Die For (1995)
45,46,141,How to Make an American Quilt (1995)
46,47,127,Seven (a.k.a. Se7en) (1995)
47,48,57,Pocahontas (1995)
48,49,141,When Night Is Falling (1995)
49,50,113,"Usual Suspects, The (1995)"
50,52,8,Mighty Aphrodite (1995)
51,53,179,Lamerica (1994)
52,54,8,"Big Green, The (1995)"
53,55,2,Georgia (1995)
54,56,0,Kids of the Round Table (1995)
55,57,24,Home for the Holidays (1995)
56,58,116,"Postman, The (Postino, Il) (1994)"
57,59,162,"Confessional, The (Confessionnal, Le) (1995)"
58,60,149,"Indian in the Cupboard, The (1995)"
59,61,98,Eye for an Eye (1996)
60,62,143,Mr. Holland's Opus (1995)
61,63,157,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
62,64,77,Two if by Sea (1996)
63,65,20,Bio-Dome (1996)
64,66,130,Lawnmower Man 2: Beyond Cyberspace (1996)
65,67,165,Two Bits (1995)
66,68,15,French Twist (Gazon maudit) (1995)
67,69,78,Friday (1995)
68,70,113,From Dusk Till Dawn (1996)
69,71,197,Fair Game (1995)
70,72,51,Kicking and Screaming (1995)
71,73,143,"Misérables, Les (1995)"
72,74,37,Bed of Roses (1996)
73,75,28,Big Bully (1996)
74,76,53,Screamers (1995)
75,77,168,Nico Icon (1995)
76,78,24,"Crossing Guard, The (1995)"
77,79,177,"Juror, The (1996)"
78,80,172,"White Balloon, The (Badkonake sefid) (1995)"
79,81,2,Things to Do in Denver When You're Dead (1995)
80,82,179,Antonia's Line (Antonia) (1995)
81,83,100,Once Upon a Time... When We Were Colored (1995)
82,84,191,Last Summer in the Hamptons (1995)
83,85,8,Angels and Insects (1995)
84,86,14,White Squall (1996)
85,87,19,Dunston Checks In (1996)
86,88,20,Black Sheep (1996)
87,89,147,Nick of Time (1995)
88,90,14,The Journey of August King (1995)
89,92,46,Mary Reilly (1996)
90,93,2,Vampire in Brooklyn (1995)
91,94,125,Beautiful Girls (1996)
92,95,3,Broken Arrow (1996)
93,96,96,In the Bleak Midwinter (1995)
94,97,80,"Hate (Haine, La) (1995)"
95,98,74,Shopping (1994)
96,99,14,Heidi Fleiss: Hollywood Madam (1995)
97,100,162,City Hall (1996)
98,101,165,Bottle Rocket (1996)
99,102,0,Mr. Wrong (1996)
100,103,97,Unforgettable (1996)
101,104,127,Happy Gilmore (1996)
102,105,96,"Bridges of Madison County, The (1995)"
103,106,167,Nobody Loves Me (Keiner liebt mich) (1994)
104,107,118,Muppet Treasure Island (1996)
105,108,32,Catwalk (1996)
106,110,2,Braveheart (1995)
107,111,179,Taxi Driver (1976)
108,112,189,Rumble in the Bronx (Hont faan kui) (1995)
109,113,142,Before and After (1996)
110,114,105,Margaret's Museum (1995)
111,115,143,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)"
112,116,36,Anne Frank Remembered (1995)
113,117,53,"Young Poisoner's Handbook, The (1995)"
114,118,58,If Lucy Fell (1996)
115,119,145,"Steal Big, Steal Little (1995)"
116,120,24,Race the Sun (1996)
117,121,115,"Boys of St. Vincent, The (1992)"
118,122,8,Boomerang (1992)
119,123,97,Chungking Express (Chung Hing sam lam) (1994)
120,124,96,"Star Maker, The (Uomo delle stelle, L') (1995)"
121,125,105,Flirting With Disaster (1996)
122,126,57,"NeverEnding Story III, The (1994)"
123,127,162,"Silences of the Palace, The (Saimt el Qusur) (1994)"
124,128,36,Jupiter's Wife (1994)
125,129,96,Pie in the Sky (1996)
126,131,59,Frankie Starlight (1995)
127,132,51,Jade (1995)
128,135,46,Down Periscope (1996)
129,136,114,From the Journals of Jean Seberg (1995)
130,137,125,Man of the Year (1995)
131,138,3,"Neon Bible, The (1995)"
132,140,149,Up Close and Personal (1996)
133,141,35,"Birdcage, The (1996)"
134,144,16,"Brothers McMullen, The (1995)"
135,145,199,Bad Boys (1995)
136,146,179,"Amazing Panda Adventure, The (1995)"
137,147,14,"Basketball Diaries, The (1995)"
138,148,114,"Awfully Big Adventure, An (1995)"
139,149,125,Amateur (1994)
140,150,92,Apollo 13 (1995)
141,151,123,Rob Roy (1995)
142,152,43,"Addiction, The (1995)"
143,153,15,Batman Forever (1995)
144,154,30,Beauty of the Day (Belle de jour) (1967)
145,155,46,Beyond Rangoon (1995)
146,156,137,Blue in the Face (1995)
147,157,24,Canadian Bacon (1995)
148,158,51,Casper (1995)
149,159,114,Clockers (1995)
150,160,12,Congo (1995)
151,161,76,Crimson Tide (1995)
152,162,37,Crumb (1994)
153,163,89,Desperado (1995)
154,164,14,Devil in a Blue Dress (1995)
155,165,134,Die Hard: With a Vengeance (1995)
156,166,74,"Doom Generation, The (1995)"
157,167,135,Feast of July (1995)
158,168,179,First Knight (1995)
159,169,51,Free Willy 2: The Adventure Home (1995)
160,170,196,Hackers (1995)
161,171,8,Jeffrey (1995)
162,172,105,Johnny Mnemonic (1995)
163,173,194,Judge Dredd (1995)
164,174,137,Jury Duty (1995)
165,175,19,Kids (1995)
166,176,36,Living in Oblivion (1995)
167,177,54,Lord of Illusions (1995)
168,178,104,Love & Human Remains (1993)
169,179,3,Mad Love (1995)
170,180,5,Mallrats (1995)
171,181,59,Mighty Morphin Power Rangers: The Movie (1995)
172,182,189,Moonlight and Valentino (1995)
173,183,67,Mute Witness (1994)
174,184,161,Nadja (1994)
175,185,143,"Net, The (1995)"
176,186,12,Nine Months (1995)
177,187,20,Party Girl (1995)
178,188,18,"Prophecy, The (1995)"
179,189,71,Reckless (1995)
180,190,168,Safe (1995)
181,191,27,"Scarlet Letter, The (1995)"
182,192,76,The Show (1995)
183,193,143,Showgirls (1995)
184,194,75,Smoke (1995)
185,195,2,Something to Talk About (1995)
186,196,96,Species (1995)
187,197,51,"Stars Fell on Henrietta, The (1995)"
188,198,73,Strange Days (1995)
189,199,20,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
190,200,103,"Tie That Binds, The (1995)"
191,201,24,Three Wishes (1995)
192,202,8,Total Eclipse (1995)
193,203,24,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
194,204,72,Under Siege 2: Dark Territory (1995)
195,205,145,Unstrung Heroes (1995)
196,206,98,Unzipped (1995)
197,207,168,"Walk in the Clouds, A (1995)"
198,208,111,Waterworld (1995)
199,209,111,White Man's Burden (1995)
200,210,135,Wild Bill (1995)
201,211,59,"Browning Version, The (1994)"
202,212,126,Bushwhacked (1995)
203,213,22,Burnt by the Sun (Utomlyonnye solntsem) (1994)
204,214,162,Before the Rain (Pred dozhdot) (1994)
205,215,75,Before Sunrise (1995)
206,216,3,Billy Madison (1995)
207,217,110,"Babysitter, The (1995)"
208,218,11,Boys on the Side (1995)
209,219,98,"Cure, The (1995)"
210,220,0,Castle Freak (1995)
211,222,67,Circle of Friends (1995)
212,223,74,Clerks (1994)
213,224,86,Don Juan DeMarco (1995)
214,225,22,Disclosure (1994)
215,227,7,Drop Zone (1994)
216,228,147,Destiny Turns on the Radio (1995)
217,229,114,Death and the Maiden (1994)
218,230,57,Dolores Claiborne (1995)
219,231,8,Dumb & Dumber (Dumb and Dumber) (1994)
220,232,119,Eat Drink Man Woman (Yin shi nan nu) (1994)
221,233,168,Exotica (1994)
222,234,28,Exit to Eden (1994)
223,235,129,Ed Wood (1994)
224,236,58,French Kiss (1995)
225,237,31,Forget Paris (1995)
226,238,8,Far From Home: The Adventures of Yellow Dog (1995)
227,239,78,"Goofy Movie, A (1995)"
228,240,86,Hideaway (1995)
229,241,142,Fluke (1995)
230,242,57,Farinelli: il castrato (1994)
231,243,14,Gordy (1995)
232,244,36,Gumby: The Movie (1995)
233,245,162,The Glass Shield (1994)
234,246,8,Hoop Dreams (1994)
235,247,177,Heavenly Creatures (1994)
236,248,106,Houseguest (1994)
237,249,59,Immortal Beloved (1994)
238,250,116,Heavyweights (Heavy Weights) (1995)
239,251,175,"Hunted, The (1995)"
240,252,129,I.Q. (1994)
241,253,100,Interview with the Vampire: The Vampire Chronicles (1994)
242,254,35,Jefferson in Paris (1995)
243,255,14,"Jerky Boys, The (1995)"
244,256,53,Junior (1994)
245,257,111,Just Cause (1995)
246,258,51,"Kid in King Arthur's Court, A (1995)"
247,259,20,Kiss of Death (1995)
248,260,11,Star Wars: Episode IV - A New Hope (1977)
249,261,147,Little Women (1994)
250,262,143,"Little Princess, A (1995)"
251,263,14,Ladybird Ladybird (1994)
252,264,143,"Enfer, L' (1994)"
253,265,27,Like Water for Chocolate (Como agua para chocolate) (1992)
254,266,179,Legends of the Fall (1994)
255,267,2,Major Payne (1995)
256,268,17,Little Odessa (1994)
257,269,112,My Crazy Life (Mi vida loca) (1993)
