,0
0,Pulp Fiction (1994)
1,Three Colors: Blue (Trois couleurs: Bleu) (1993)
2,Underground (1995)
3,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
4,"Nights of Cabiria (Notti di Cabiria, Le) (1957)"
5,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)"
6,Run Lola Run (Lola rennt) (1998)
7,"Black Cat, White Cat (Crna macka, beli macor) (1998)"
8,"Idiots, The (Idioterne) (1998)"
9,Requiem for a Dream (2000)
10,In the Mood For Love (Fa yeung nin wa) (2000)
11,"Night, The (Notte, La) (1960)"
12,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
13,Teddy Bear (Mis) (1981)
14,City of God (Cidade de Deus) (2002)
15,"Spanish Apartment, The (L'auberge espagnole) (2002)"
16,Lost in Translation (2003)
17,"Strada, La (1954)"
18,Eternal Sunshine of the Spotless Mind (2004)
19,The Magician (1958)
20,"Dolce Vita, La (1960)"
21,Dolls (2002)
22,2046 (2004)
23,Look at Me (Comme une image) (2004)
24,Braveheart (1995)
25,Rob Roy (1995)
26,Star Wars: Episode IV - A New Hope (1977)
27,"Shawshank Redemption, The (1994)"
28,Tommy Boy (1995)
29,Clear and Present Danger (1994)
30,Forrest Gump (1994)
31,"Lion King, The (1994)"
32,"Fugitive, The (1993)"
33,Schindler's List (1993)
34,Shadowlands (1993)
35,"Rock, The (1996)"
36,It's a Wonderful Life (1946)
37,Monty Python and the Holy Grail (1975)
38,Star Wars: Episode V - The Empire Strikes Back (1980)
39,"Princess Bride, The (1987)"
40,Star Wars: Episode VI - Return of the Jedi (1983)
41,Better Off Dead... (1985)
42,Highlander (1986)
43,Ben-Hur (1959)
44,Indiana Jones and the Last Crusade (1989)
45,Gandhi (1982)
46,Star Trek: First Contact (1996)
47,Star Trek II: The Wrath of Khan (1982)
48,Star Trek IV: The Voyage Home (1986)
49,"Devil's Own, The (1997)"
50,Men in Black (a.k.a. MIB) (1997)
51,Contact (1997)
52,"Hunt for Red October, The (1990)"
53,Gattaca (1997)
54,"Rainmaker, The (1997)"
55,"Truman Show, The (1998)"
56,"Muppet Christmas Carol, The (1992)"
57,Watership Down (1978)
