,tagId,tagrelevancesum,tag
0,806,3001.953249999994,powerful ending
1,143,3002.1947500000083,bleak
2,29,3004.03650000002,adventure
3,531,3009.626999999988,idealism
4,951,3021.2229999999986,special effects
5,710,3031.5369999999916,nocturnal
6,447,3053.8882500000045,good action
7,519,3055.343250000009,honest
8,366,3055.468499999986,exceptional acting
9,129,3074.882749999982,better than expected
10,414,3079.5214999999957,fun
11,743,3089.721000000004,original plot
12,761,3101.9547499999985,oscar winner
13,1014,3110.1567499999937,teen movie
14,275,3114.6459999999793,cult classic
15,387,3127.196000000003,feel good movie
16,272,3131.4062499999986,crude humor
17,122,3133.0014999999867,beautifully filmed
18,747,3144.7807500000226,oscar (best actress)
19,75,3169.8102499999995,art
20,1054,3173.5545000000034,underrated
21,325,3174.952750000002,dreamlike
22,100,3177.2322500000014,bad plot
23,920,3181.4587499999957,silly fun
24,937,3181.5472500000164,solitude
25,614,3183.059250000002,love story
26,478,3183.7207499999854,guilt
27,138,3188.2402500000044,bittersweet
28,46,3225.904000000009,allegory
29,1114,3239.950749999996,witty
30,995,3242.266749999989,surreal
31,1020,3244.911500000003,tense
32,121,3270.560250000006,beautiful scenery
33,230,3307.844500000002,comedy
34,335,3316.5575000000144,dysfunctional family
35,625,3318.2722500000195,male nudity
36,1072,3327.195250000024,very good
37,727,3333.1537500000054,nudity (full frontal - notable)
38,216,3344.307750000005,classic car
39,443,3345.65325000001,golden palm
40,745,3359.3830000000016,oscar
41,446,3367.60074999999,good acting
42,694,3371.2119999999923,natural disaster
43,1123,3385.8752499999987,writers
44,1057,3398.782499999994,unfunny
45,759,3431.2872499999908,oscar (best supporting actress)
46,30,3438.8697500000007,affectionate
47,823,3441.7694999999967,psychological
48,792,3443.4072500000098,pointless
49,967,3465.4445000000096,stereotypes
50,870,3470.810250000013,sacrifice
51,18,3485.5182500000137,absurd
52,481,3486.443000000004,gunfight
53,557,3486.579000000011,intimate
54,113,3489.929499999996,based on book
55,1116,3526.2485000000033,women
56,1090,3541.670500000019,visual
57,355,3556.935749999988,entertaining
58,726,3560.808250000004,nudity (full frontal - brief)
59,107,3573.412999999995,based on a book
60,1085,3577.651750000001,violent
61,911,3586.3845000000215,sexy
62,19,3599.4389999999953,action
63,396,3602.9977499999854,first contact
64,412,3613.015750000001,friendship
65,368,3619.5342499999892,existentialism
66,1101,3622.05425,weapons
67,787,3634.781500000008,plot
68,474,3635.999500000007,grindhouse
69,910,3671.330499999997,sexualized violence
70,609,3679.741249999998,lone hero
71,897,3693.867249999997,secrets
72,192,3724.794000000003,cerebral
73,845,3759.168750000007,reflective
74,203,3763.2239999999874,childhood
75,1062,3777.4012499999894,unlikely friendships
76,682,3790.7445,murder
77,691,3791.8255000000127,narrated
78,771,3828.8647500000047,passionate
79,365,3831.084999999993,excellent script
80,388,3840.984750000007,feel-good
81,733,3841.731750000011,obsession
82,324,3856.3652500000085,dramatic
83,933,3886.44875000001,so bad it's funny
84,424,3904.413500000002,gangsters
85,86,3936.0197499999967,atmospheric
86,829,3975.1040000000053,quirky
87,276,3999.479249999999,cult film
88,328,4031.237000000012,drinking
89,490,4032.6214999999943,happy ending
90,22,4033.8585000000007,adapted from:book
91,1084,4035.8319999999862,violence
92,1073,4036.4882499999917,very interesting
93,585,4055.7757499999816,justice
94,610,4066.349750000011,loneliness
95,850,4066.4902500000126,revenge
96,1071,4073.854999999993,very funny
97,469,4085.4684999999954,great movie
98,240,4087.8935000000165,complex
99,846,4099.162249999992,relationships
100,797,4107.860999999999,police investigation
101,554,4147.408499999998,interesting
102,266,4213.0372500000185,creativity
103,493,4216.187500000005,harsh
104,389,4216.44324999999,fight scenes
105,540,4232.721250000008,independent film
106,356,4240.0307500000035,entirely dialogue
107,1040,4253.065499999987,transformation
108,374,4266.3542499999885,family
109,292,4347.982499999993,death
110,719,4348.703000000006,not funny
111,982,4360.439500000006,stylized
112,936,4365.933499999997,social commentary
113,415,4370.208750000004,fun movie
114,601,4407.721749999992,life & death
115,750,4408.021000000015,oscar (best directing)
116,603,4428.429,light
117,553,4434.623749999998,intense
118,992,4445.329749999992,suprisingly clever
119,1064,4460.264499999994,unusual plot structure
120,351,4460.655499999994,enigmatic
121,1051,4461.986000000011,twists & turns
122,299,4467.441000000009,destiny
123,258,4477.176499999998,corruption
124,844,4480.672249999988,redemption
125,801,4528.442500000005,pornography
126,220,4594.321999999999,clever
127,777,4632.664750000004,pg-13
128,378,4674.387750000031,fantasy world
129,128,4691.754749999999,betrayal
130,999,4756.642999999989,suspense
131,465,4765.574000000006,great acting
132,536,4767.141250000015,imdb top 250
133,1008,4808.266249999985,talky
134,807,4829.392749999976,predictable
135,21,4844.986249999978,adaptation
136,212,4941.715249999991,cinematography
137,277,5054.044499999995,culture clash
138,602,5213.352500000001,life philosophy
139,1091,5229.679000000002,visually appealing
140,323,5267.604249999965,drama
141,472,5275.587999999999,greed
142,169,5289.135749999976,brutality
143,270,5397.081499999982,criterion
144,640,5489.664999999992,melancholic
145,971,5516.059250000001,story
146,464,5579.194000000009,great
147,445,5655.903249999981,good
148,195,5712.360999999982,chase
149,1070,5840.195250000036,vengeance
150,1104,5841.590750000009,weird
151,452,5921.672250000007,good soundtrack
152,302,6177.306750000001,dialogue
153,867,6185.710750000028,runaway
154,972,6220.351749999999,storytelling
155,468,6568.13100000002,great ending
156,188,6586.79875000002,catastrophe
157,646,7482.439750000029,mentor
158,742,10008.643999999987,original
