,movieid,Cluster,title,genres,avg_rating,rating_counts
0,1,35,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.893707794587238,57309
1,2,130,Jumanji (1995),Adventure|Children|Fantasy,3.2515271586594023,24228
2,3,180,Grumpier Old Men (1995),Comedy|Romance,3.142028126058963,11804
3,4,99,Waiting to Exhale (1995),Comedy|Drama|Romance,2.85354736424891,2523
4,5,180,Father of the Bride Part II (1995),Comedy,3.058434352057368,11714
5,6,161,Heat (1995),Action|Crime|Thriller,3.854908898649748,24588
6,7,172,Sabrina (1995),Comedy|Romance,3.3636663369601054,12132
7,8,46,Tom and Huck (1995),Adventure|Children,3.114583333333333,1344
8,9,177,Sudden Death (1995),Action,2.992050660199407,3711
9,10,74,GoldenEye (1995),Action|Adventure|Thriller,3.42145763311516,28265
10,11,3,"American President, The (1995)",Comedy|Drama|Romance,3.657170519892032,17042
11,12,93,Dracula: Dead and Loving It (1995),Comedy|Horror,2.6245656241646618,3741
12,13,9,Balto (1995),Adventure|Animation|Children,3.333527696793003,1715
13,14,0,Nixon (1995),Drama,3.4234888364494465,5509
14,15,2,Cutthroat Island (1995),Action|Adventure|Romance,2.7190217391304348,2760
15,16,150,Casino (1995),Crime|Drama,3.8237068028689416,18404
16,17,50,Sense and Sensibility (1995),Drama|Romance,3.948806325713417,19729
17,18,14,Four Rooms (1995),Comedy,3.3843505768515074,5374
18,19,134,Ace Ventura: When Nature Calls (1995),Comedy,2.6421677802524126,21552
19,20,22,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.869921875,3840
20,21,167,Get Shorty (1995),Comedy|Crime|Thriller,3.570162050545405,22277
21,22,171,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.3200173216412256,9237
22,23,66,Assassins (1995),Action|Crime|Thriller,3.145691333982473,4108
23,24,116,Powder (1995),Drama|Sci-Fi,3.18758389261745,7450
24,25,196,Leaving Las Vegas (1995),Drama|Romance,3.677304434479322,20070
25,26,17,Othello (1995),Drama,3.606708513142409,2549
26,27,111,Now and Then (1995),Children|Drama,3.4039315155358274,1577
27,28,50,Persuasion (1995),Drama|Romance,4.03,2950
28,29,132,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.936724864539434,8305
29,30,96,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.6367924528301887,1166
30,31,178,Dangerous Minds (1995),Drama,3.244838567977158,9106
31,32,83,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.905767841203724,47054
32,33,123,Wings of Courage (1995),Adventure|Romance|IMAX,3.023076923076923,65
33,34,9,Babe (1995),Children|Drama,3.603191759918616,31456
34,35,12,Carrington (1995),Drama|Romance,3.4792899408284024,1352
35,36,164,Dead Man Walking (1995),Crime|Drama,3.91868681658758,19388
36,37,187,Across the Sea of Time (1995),Documentary|IMAX,2.993333333333333,75
37,38,46,It Takes Two (1995),Children|Comedy,2.870839936608558,631
38,39,191,Clueless (1995),Comedy|Romance,3.4187380861608845,26230
39,40,17,"Cry, the Beloved Country (1995)",Drama,3.6267252195734,797
40,41,168,Richard III (1995),Drama|War,3.843413033286451,4266
41,42,29,Dead Presidents (1995),Action|Crime|Drama,3.0495652173913044,2300
42,43,168,Restoration (1995),Drama,3.4499566724436743,2308
43,44,88,Mortal Kombat (1995),Action|Adventure|Fantasy,2.6546241414996707,10629
44,45,68,To Die For (1995),Comedy|Drama|Thriller,3.382907947260191,8267
45,46,99,How to Make an American Quilt (1995),Drama|Romance,3.2634129456559364,2889
46,47,136,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.079166337259863,50596
47,48,137,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9777505385929723,13461
48,49,12,When Night Is Falling (1995),Drama|Romance,3.5197368421052637,228
49,50,136,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.284353213163313,55366
50,52,169,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.532892426548051,8543
51,53,17,Lamerica (1994),Adventure|Drama,3.6496350364963503,137
52,54,46,"Big Green, The (1995)",Children|Comedy,2.8411316648531013,919
53,55,145,Georgia (1995),Drama,3.220329024676851,851
54,56,192,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1.9153846153846157,65
55,57,12,Home for the Holidays (1995),Drama,3.320438282647585,2236
56,58,169,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3.9679004101879234,10483
57,59,148,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3.56353591160221,181
58,60,130,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.0958892617449663,5960
59,61,68,Eye for an Eye (1996),Drama|Thriller,3.3160919540229883,2088
60,62,178,Mr. Holland's Opus (1995),Drama,3.715354676022366,18242
61,63,95,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,3.083904109589041,2336
62,64,180,Two if by Sea (1996),Comedy|Romance,2.81395966029724,1884
63,65,95,Bio-Dome (1996),Comedy,2.37025520051469,4663
64,66,110,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.1376975169300225,2215
65,67,25,Two Bits (1995),Drama,3.2975460122699385,163
66,68,12,French Twist (Gazon maudit) (1995),Comedy|Romance,3.4301601423487544,1124
67,69,95,Friday (1995),Comedy,3.5583216456287987,4278
68,70,93,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.326568919110356,14118
69,71,22,Fair Game (1995),Action,2.34567387687188,1202
70,72,188,Kicking and Screaming (1995),Comedy|Drama,3.4868532654792195,1179
71,73,179,"Misérables, Les (1995)",Drama|War,3.796035568729159,2699
72,74,172,Bed of Roses (1996),Drama|Romance,3.2880989180834623,3235
73,75,1,Big Bully (1996),Comedy|Drama,2.429657794676806,526
74,76,110,Screamers (1995),Action|Sci-Fi|Thriller,3.010046367851623,3235
75,77,184,Nico Icon (1995),Documentary,3.4028436018957344,211
76,78,96,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.152790079716563,1129
77,79,167,"Juror, The (1996)",Drama|Thriller,3.1199367713890536,5061
78,80,25,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3.749514563106796,515
79,81,94,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.2527435982707016,3007
80,82,65,Antonia's Line (Antonia) (1995),Comedy|Drama,3.992351398601399,2288
81,83,0,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.644320297951583,537
82,84,39,Last Summer in the Hamptons (1995),Comedy|Drama,3.358156028368794,141
83,85,50,Angels and Insects (1995),Drama|Romance,3.526833265055305,2441
84,86,140,White Squall (1996),Action|Adventure|Drama,3.4766641162968632,3921
85,87,46,Dunston Checks In (1996),Children|Comedy,2.349680170575693,938
86,88,134,Black Sheep (1996),Comedy,3.107188160676533,4730
87,89,183,Nick of Time (1995),Action|Thriller,3.1294022617124395,3095
88,90,17,The Journey of August King (1995),Drama,3.333333333333333,201
89,92,8,Mary Reilly (1996),Drama|Horror|Thriller,2.850047303689688,2114
90,93,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.4919938016528924,1936
91,94,121,Beautiful Girls (1996),Comedy|Drama|Romance,3.5279255319148937,3760
92,95,22,Broken Arrow (1996),Action|Adventure|Thriller,3.077245421955237,20642
93,96,39,In the Bleak Midwinter (1995),Comedy|Drama,3.7004504504504494,444
94,97,29,"Hate (Haine, La) (1995)",Crime|Drama,3.986233269598471,2615
95,98,90,Shopping (1994),Action|Thriller,2.5963855421686746,83
96,99,184,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.101047904191617,668
97,100,45,City Hall (1996),Drama|Thriller,3.2212201591511938,3770
98,101,42,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.7673501577287065,4438
99,102,120,Mr. Wrong (1996),Comedy,2.4106463878327,1841
100,103,151,Unforgettable (1996),Mystery|Sci-Fi|Thriller,3.2552581261950286,1046
101,104,134,Happy Gilmore (1996),Comedy,3.3943981240229286,19190
102,105,99,"Bridges of Madison County, The (1995)",Drama|Romance,3.3332222962469467,9006
103,106,17,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,3.436,125
104,107,46,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.2168744804655027,6015
105,108,184,Catwalk (1996),Documentary,3.0739130434782607,115
106,110,189,Braveheart (1995),Action|Drama|War,4.002272573668559,59184
107,111,106,Taxi Driver (1976),Crime|Drama|Thriller,4.083479216009336,29133
108,112,57,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.40623288921336,10958
109,113,151,Before and After (1996),Drama|Mystery,3.101010101010101,990
110,114,169,Margaret's Museum (1995),Drama,3.5891304347826085,230
111,115,131,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,3.5348837209302326,43
112,116,129,Anne Frank Remembered (1995),Documentary,3.911428571428572,875
113,117,181,"Young Poisoner's Handbook, The (1995)",Crime|Drama,3.574430823117338,1142
114,118,172,If Lucy Fell (1996),Comedy|Romance,2.9854368932038837,1030
115,119,1,"Steal Big, Steal Little (1995)",Comedy,2.733739837398374,246
116,120,26,Race the Sun (1996),Adventure|Comedy|Drama,2.841549295774648,142
117,121,25,"Boys of St. Vincent, The (1992)",Drama,3.74869109947644,764
118,122,180,Boomerang (1992),Comedy|Romance,2.859392419175028,3588
119,123,169,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,3.991369390103568,2607
120,124,17,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.4966442953020134,298
121,125,143,Flirting With Disaster (1996),Comedy,3.744196843082637,3231
122,126,130,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,2.318660647103085,1329
123,127,17,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,3.109756097560976,41
124,128,174,Jupiter's Wife (1994),Documentary,3.4859154929577465,71
125,129,111,Pie in the Sky (1996),Comedy|Romance,3.13953488372093,172
126,131,169,Frankie Starlight (1995),Drama|Romance,3.3106508875739644,169
127,132,85,Jade (1995),Thriller,2.777922077922078,1925
128,135,120,Down Periscope (1996),Comedy,3.001854349291976,5932
129,136,129,From the Journals of Jean Seberg (1995),Documentary,3.6277777777777778,90
130,137,184,Man of the Year (1995),Documentary,3.254854368932039,206
131,138,17,"Neon Bible, The (1995)",Drama,3.227642276422764,123
132,140,172,Up Close and Personal (1996),Drama|Romance,3.287283110037338,4553
133,141,38,"Birdcage, The (1996)",Comedy,3.5101652454593637,20757
134,144,39,"Brothers McMullen, The (1995)",Comedy,3.4649743714913352,4097
135,145,161,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,3.275515786183182,12796
136,146,46,"Amazing Panda Adventure, The (1995)",Adventure|Children,2.9029038112522687,551
137,147,113,"Basketball Diaries, The (1995)",Drama,3.5833728090952155,4222
138,148,17,"Awfully Big Adventure, An (1995)",Drama,2.908955223880597,335
139,149,96,Amateur (1994),Crime|Drama|Thriller,3.68669314796425,1007
140,150,187,Apollo 13 (1995),Adventure|Drama|IMAX,3.87355561527172,48377
141,151,189,Rob Roy (1995),Action|Drama|Romance|War,3.53139284174213,11595
142,152,93,"Addiction, The (1995)",Drama|Horror,3.0869905956112853,638
143,153,71,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.8716600752387382,31101
144,154,182,Beauty of the Day (Belle de jour) (1967),Drama,3.786777431637245,2889
145,155,179,Beyond Rangoon (1995),Adventure|Drama|War,3.408390410958904,1168
146,156,17,Blue in the Face (1995),Comedy|Drama,3.5088757396449703,1521
147,157,179,Canadian Bacon (1995),Comedy|War,2.7942023026315788,2432
148,158,44,Casper (1995),Adventure|Children,2.921479069028517,12589
149,159,29,Clockers (1995),Crime|Drama|Mystery,3.4178361249434133,2209
150,160,142,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.6022161264708004,13853
151,161,37,Crimson Tide (1995),Drama|Thriller|War,3.739861235452104,22340
152,162,174,Crumb (1994),Documentary,4.008077401029647,5633
153,163,67,Desperado (1995),Action|Romance|Western,3.439258581879572,14216
154,164,21,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.4522562951882323,4011
155,165,22,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,3.506566659749192,33731
156,166,36,"Doom Generation, The (1995)",Comedy|Crime|Drama,2.84407027818448,683
157,167,8,Feast of July (1995),Drama,3.076388888888889,72
158,168,172,First Knight (1995),Action|Drama|Romance,3.081881687151826,11309
159,169,46,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,2.269546027742749,3172
160,170,54,Hackers (1995),Action|Adventure|Crime|Thriller,3.215710400207227,7721
161,171,38,Jeffrey (1995),Comedy|Drama,3.599845797995374,1297
162,172,126,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,2.7515630141493914,12156
163,173,51,Judge Dredd (1995),Action|Crime|Sci-Fi,2.555359804851606,14758
164,174,120,Jury Duty (1995),Comedy,2.449275362318841,1932
165,175,29,Kids (1995),Drama,3.507799325463744,4744
166,176,1,Living in Oblivion (1995),Comedy,3.849069450748978,2203
167,177,23,Lord of Illusions (1995),Horror,2.8892508143322475,2149
168,178,38,Love & Human Remains (1993),Comedy|Drama,3.392935982339956,453
169,179,169,Mad Love (1995),Drama|Romance,2.7305630026809653,1119
170,180,95,Mallrats (1995),Comedy|Romance,3.575782930910829,8366
171,181,52,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1.9535250098463963,2539
172,182,172,Moonlight and Valentino (1995),Drama|Romance,3.0754716981132075,636
173,183,45,Mute Witness (1994),Comedy|Horror|Thriller,3.3623063683304646,581
174,184,93,Nadja (1994),Drama,3.0670926517571884,313
175,185,54,"Net, The (1995)",Action|Crime|Thriller,3.102854287948562,23018
176,186,75,Nine Months (1995),Comedy|Romance,2.8772434974565697,10419
177,187,1,Party Girl (1995),Comedy,3.4314285714285715,875
178,188,19,"Prophecy, The (1995)",Fantasy|Horror|Mystery,3.33347280334728,2390
179,189,56,Reckless (1995),Comedy|Fantasy,2.991776315789474,304
180,190,131,Safe (1995),Thriller,3.578174186778594,953
181,191,99,"Scarlet Letter, The (1995)",Drama|Romance,2.684565916398714,1555
182,192,129,The Show (1995),Documentary,3.037974683544304,79
183,193,85,Showgirls (1995),Drama,2.2478297395687483,7142
184,194,42,Smoke (1995),Comedy|Drama,3.844293826708189,5459
185,195,99,Something to Talk About (1995),Comedy|Drama|Romance,3.077944179714091,2938
186,196,91,Species (1995),Horror|Sci-Fi,2.8360270915108137,12993
187,197,17,"Stars Fell on Henrietta, The (1995)",Drama,3.055555555555556,99
188,198,83,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,3.417996761508212,8646
189,199,92,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,3.77007299270073,1507
190,200,68,"Tie That Binds, The (1995)",Thriller,2.8222222222222224,315
191,201,112,Three Wishes (1995),Drama|Fantasy,3.001457725947522,343
